status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,Senior Data Analyst,Sun Life,"Waterloo, ON",2024-09-25,"The Growth and Performance Marketing team within Sun Life’s Client Experience Office (CXO) has embarked on a major transformation. As part of this transformation, we are continuously launching and…",Remote: Hybrid work,https://www.indeed.ca/m/viewjob?jk=5ff817054ffa75d9,IndeedScraperCANEng_5ff817054ffa75d9,IndeedScraperCANEng,Python,CANADA_ENGLISH,$78000 - $128000 yearly,TEMPORARILY_REMOTE
NEW,"Student Researcher, PhD, Fall 2024",Google,"Waterloo, ON",2024-10-09,"This opportunity is intended for students who are pursuing a PhD degree program in Computer Science or a related field. Our Student Researcher opportunities are flexible in time commitment, length of…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=14a370752a64cc71,IndeedScraperCANEng_14a370752a64cc71,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,"Intermediate Analyst, Actuarial- Personal Pricing",Definity Financial Corporation,"Waterloo, ON",2024-09-25,"We offer a flexible, hybrid work experience where employees work from the office and virtually depending on the type of work they are doing and who they are working with.","Job types: Full-time
Remote: Hybrid work
Benefits: Tuition reimbursement, Paid time off, Company pension
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=9bc151745938c879,IndeedScraperCANEng_9bc151745938c879,IndeedScraperCANEng,Python,CANADA_ENGLISH,$59400 - $118100 yearly,TEMPORARILY_REMOTE
NEW,"Intermediate Technology Specialist, Integration",Equitable CA,"Waterloo, ON",2024-09-25,"Reports To: Lead Technology Manager, Data Platforms. The Opportunity: The Intermediate Technology Specialist, Integration will be accountable for the solutioning of the API Management components, will…","Job types: Full-time
Remote: Hybrid work
Benefits: Company pension
Job types cc: Full-time
Schedules: On call",https://www.indeed.ca/m/viewjob?jk=5d3f4dda625c42a1,IndeedScraperCANEng_5d3f4dda625c42a1,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,"Research Intern, PhD, Summer 2025",Google,"Waterloo, ON",2024-10-09,"This internship is intended for students in their penultimate academic year, who are pursuing a PhD degree program in Computer Science or a related field. Develop and execute a research agenda.","Job types: Full-time, Internship / Co-op
Job types cc: Full-time, Internship / Co-op",https://www.indeed.ca/m/viewjob?jk=8943c0cc7b8abdc7,IndeedScraperCANEng_8943c0cc7b8abdc7,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Senior Data Science Engineer (Salesforce),Manulife,"Waterloo, ON",2024-09-25,"As a Senior Data Science Engineer, you will take a leading role in designing and delivering AI/Advanced Analytics solution in cloud-based production environments to business; be accountable for…","Job types: Full-time
Remote: Hybrid work
Benefits: Disability insurance, Dental care, Paid time off, Vision care
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=3975482dd0810967,IndeedScraperCANEng_3975482dd0810967,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,Robotic Controls Software Engineer,Swap Robotics,"Kitchener, ON",2024-10-22,"Design and develop high quality, maintainable and testable code. Work closely with system architects to ensure conformity to target architecture. Interact and work closely with other teams for systems…","Job types: Full-time
Benefits: Flexible schedule
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=684f66bfcac5c5e1,IndeedScraperCANEng_684f66bfcac5c5e1,IndeedScraperCANEng,Python,CANADA_ENGLISH,$70000 - $-1 yearly,UNKNOWN
NEW,AI Development Specialist,Outlier,"Kitchener, ON",2024-10-17,"We partner with organizations to train AI large language models, helping cutting-edge generative AI models write better code. Projects typically include discrete, highly variable problems that involve…","Job types: Contract
Job types cc: Contract, Freelance
Schedules: Overtime",https://www.indeed.ca/m/viewjob?jk=9cd5ad5fa038faec,IndeedScraperCANEng_9cd5ad5fa038faec,IndeedScraperCANEng,Python,CANADA_ENGLISH,$30 - $30 hourly,UNKNOWN
NEW,Senior Software Developer,Rowan Williams Davies & Irwin,"Guelph, ON",2024-09-27,"Our products help protect the environment, create safe and inviting spaces, enable the design of structures whose strength and beauty will last for generations, all while revolutionizing the way the…","Job types: Full-time
Benefits: RRSP match
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=96371be52a30b898,IndeedScraperCANEng_96371be52a30b898,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Data Analyst and Evaluation Specialist,University of Waterloo,"Waterloo, ON",2024-10-24,The Data Analyst and Evaluation Specialist provides data analysis and insights to support operational and strategic decision making pertinent to student success.,"Job types: Temporary
Job types cc: Temporary",https://www.indeed.ca/m/viewjob?jk=36b5cced9405aaa4,IndeedScraperCANEng_36b5cced9405aaa4,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
